Date,Product ID,Product Name,Quantity Sold,Unit Price
2024-06-09,1003,Product C,25,20.00
2024-06-10,1002,Product B,35,15.00
2024-06-10,1004,Product D,35,18.00
2024-06-11,1001,Product A,45,10.00
2024-06-11,1003,Product C,20,20.00
2024-06-12,1002,Product B,50,15.00
2024-06-12,1004,Product D,25,18.00
2024-06-13,1001,Product A,55,10.00
2024-06-13,1003,Product C,15,20.00
2024-06-14,1002,Product B,40,15.00
2024-06-14,1004,Product D,30,18.00
2024-06-15,1001,Product A,35,10.00
2024-06-15,1003,Product C,30,20.00
2024-06-16,1002,Product B,60,15.00
2024-06-16,1004,Product D,20,18.00
2024-06-17,1001,Product A,40,10.00
2024-06-17,1003,Product C,25,20.00
2024-06-18,1002,Product B,35,15.00
2024-06-18,1004,Product D,35,18.00
2024-06-19,1001,Product A,45,10.00
2024-06-19,1003,Product C,20,20.00
2024-06-20,1002,Product B,50,15.00
2024-06-20,1004,Product D,25,18.00
2024-06-21,1001,Product A,55,10.00
2024-06-21,1003,Product C,15,20.00
2024-06-22,1002,Product B,40,15.00
2024-06-22,1004,Product D,30,18.00
2024-06-23,1001,Product A,35,10.00
2024-06-23,1003,Product C,30,20.00
2024-06-24,1002,Product B,60,15.00
2024-06-24,1004,Product D,20,18.00
2024-06-25,1001,Product A,40,10.00
2024-06-25,1003,Product C,25,20.00
2024-06-26,1002,Product B,35,15.00
2024-06-26,1004,Product D,35,18.00
2024-06-27,1001,Product A,45,10.00
2024-06-27,1003,Product C,20,20.00
2024-06-28,1002,Product B,50,15.00
2024-06-28,1004,Product D,25,18.00
2024-06-29,1001,Product A,55,10.00
2024-06-29,1003,Product C,15,20.00
2024-06-30,1002,Product B,40,15.00
2024-06-30,1004,Product D,30,18.00
